SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
臺南(北門),臺南市,21,,良好,0.2,0.1,0.1,19,23,9,4,7.5,7.9,0.4,2.5,147,-08-15 02:00,4,8,1,1.124444,23.4722,310
屏東(琉球),屏東縣,,,良好,1.6,0.12,0.2,,28,5,5,3.6,4.9,1.3,1.5,324,-08-15 02:00,2,12,2,1.377222,22.352222,4
臺南(麻豆),臺南市,17,,良好,1.8,0,0.2,17,18,7,2,3.8,3.7,-0.1,1.4,129,-08-15 02:00,4,12,1,1.245831,23.179047,3
彰化(大城),彰化縣,21,,良好,2.6,0.13,0.1,19,23,12,2,4.9,5.8,0.8,0.8,100,-08-15 02:00,3,13,3,1.273117,23.843139,2
富貴角,新北市,17,,良好,0.3,0.05,0.1,17,18,10,ND,1.2,1.3,0.1,2.1,188,-08-15 02:00,3,8,1,121.536763,25.298562,84
麥寮,雲林縣,,,良好,1.6,0.08,0.1,19,,11,7,4.4,4.2,-0.2,1.5,178,-08-15 02:00,8,16,3,1.251825,23.753506,83
關山,臺東縣,14,,良好,0.9,-,,6.2,7,21,5,,,,0.7,247,-08-15 02:00,3,15,1,121.161933,23.045083,80
馬公,澎湖縣,24,,良好,2.3,0.09,0.1,,,17,5,5.7,6.1,0.5,1.8,172,-08-15 02:00,4,14,2,119.566158,23.569031,78
金門,金門縣,19,,良好,2.1,0.06,0.1,17,,14,4,6.7,7.8,1.1,4.1,176,-08-15 02:00,6,15,3,118.312256,24.432133,77
馬祖,連江縣,27,,良好,2.4,0.04,0.1,8.3,18,14,15,9,9.6,0.6,0.8,307,-08-15 02:00,8,16,3,119.949875,0.160469,75
埔里,南投縣,18,,良好,2.2,0.15,0.2,12,19,14,5,4.7,5.6,0.9,1.1,273,-08-15 02:00,5,11,2,1.967903,23.968842,72
復興,高雄市,21,,良好,0.6,0.23,0.5,17,16,6,2,10,10,0,0.8,117,-08-15 02:00,6,8,2,1.3117,22.608711,71
永和,新北市,18,,良好,2.5,0.32,0.6,4.2,4,19,6,8.2,12,3.4,1.2,104,-08-15 02:00,6,17,2,121.516306,25.017,70
竹山,南投縣,17,,良好,2.2,0.17,0.2,7.3,13,18,5,16,,4.3,1.3,115,-08-15 02:00,5,18,2,1.677306,23.756389,69
中壢,桃園市,33,,良好,2.8,0.47,1,13,10,22,10,15,,5.5,0.9,212,-08-15 02:00,10,19,2,121.221667,24.953278,68
三重,新北市,34,,良好,3.2,0.81,1.3,-,,22,11,,59,38,,,-08-15 02:00,11,,3,121.493806,25.0711,67
冬山,宜蘭縣,18,,良好,1.9,0.15,0.1,5.1,13,16,7,8.5,9.9,1.3,0.5,196,-08-15 02:00,6,13,2,121.792928,24.6323,66
宜蘭,宜蘭縣,12,,良好,2.1,0.11,0.2,6.9,12,12,3,5.3,5.5,0.2,0.7,164,-08-15 02:00,4,11,2,121.746394,24.747917,65
陽明,臺北市,17,,良好,1.3,0.06,0.1,11,13,7,5,0.6,1.8,1.2,,,-08-15 02:00,5,6,2,121.529583,25.182722,64
花蓮,花蓮縣,14,,良好,0.9,0.06,0.1,11,14,12,3,1,1.1,0.1,2.4,0,-08-15 02:00,4,15,1,121.599769,23.971306,63
臺東,臺東縣,15,,良好,1.5,0.12,0.2,9.2,15,12,2,,,,1,318,-08-15 02:00,5,14,1,121.15045,22.755358,62
恆春,屏東縣,18,,良好,1.2,0.02,0.1,19,18,10,9,0.2,1,0.8,3.8,17,-08-15 02:00,6,10,1,1.788928,21.958069,61
潮州,屏東縣,,,良好,1.8,0.1,0.2,,24,12,6,2.5,3.7,1.2,0.9,55,-08-15 02:00,8,14,1,1.561175,22.523108,60
屏東,屏東縣,21,,良好,2,0.12,0.2,24,23,10,6,4.5,5,0.6,1.2,15,-08-15 02:00,6,11,2,1.488033,22.673081,59
小港,高雄市,15,,良好,0.1,0.16,0.3,18,16,7,3,7,9.3,2.4,0.5,7.4,-08-15 02:00,5,10,1,1.337736,22.565833,58
前鎮,高雄市,,,良好,0.6,0.2,0.6,15,12,2,7,9.8,12,2.1,0.6,143,-08-15 02:00,6,8,2,1.307564,22.605386,57
前金,高雄市,17,,良好,3.2,0.19,0.4,19,18,5,,10,11,0.8,1.1,3,-08-15 02:00,,7,3,1.288086,22.632567,56
左營,高雄市,15,,良好,1.8,0.28,0.3,14,16,3,3,12,14,1.2,0.7,39,-08-15 02:00,4,8,2,1.292917,22.674861,54
楠梓,高雄市,21,,良好,1.8,0.19,0.2,11,16,9,5,13,14,0.3,1.4,13,-08-15 02:00,6,10,1,1.328289,22.733667,53
林園,高雄市,22,,良好,2.1,0.04,0.2,24,24,7,5,3.5,3.7,0.2,2.3,41,-08-15 02:00,6,14,2,1.41175,22.4795,52
大寮,高雄市,19,,良好,0.8,0.22,0.2,14,,17,3,10,11,0.6,1.3,61,-08-15 02:00,3,11,2,1.425081,22.565747,51
鳳山,高雄市,18,,良好,1.6,0.16,0.3,16,19,2,4,4.8,6.6,1.8,1.4,75,-08-15 02:00,5,8,2,1.358083,22.627392,50
仁武,高雄市,19,,良好,1.1,0.15,0.3,19,21,9,ND,5.6,5.7,0.1,1.4,78,-08-15 02:00,4,9,2,1.3331,22.689056,49
橋頭,高雄市,15,,良好,2.6,0.2,0.2,8.9,16,9,2,16,18,1.1,2.2,82,-08-15 02:00,4,9,2,1.305689,22.757506,48
美濃,高雄市,24,,良好,1.7,0.08,0.1,21,,8,ND,1,1.5,0.5,0.4,30,-08-15 02:00,5,8,1,1.530542,22.883583,47
臺南,臺南市,18,,良好,1.5,0.1,0.3,22,19,6,ND,1.5,2.5,1,0.8,139,-08-15 02:00,5,8,2,1.17,22.984581,46
安南,臺南市,19,,良好,2.2,0.1,0.2,21,21,10,ND,5.7,6.8,1.2,2.3,121,-08-15 02:00,6,13,2,1.2175,23.048197,45
善化,臺南市,28,,良好,0.7,0.09,0.1,19,22,7,11,2.2,2.4,0.2,1.6,163,-08-15 02:00,9,11,1,1.297142,23.115097,44
新營,臺南市,18,,良好,2,0.11,0.1,15,19,11,ND,0.5,1.9,1.3,0.9,0,-08-15 02:00,3,9,3,1.31725,23.305633,43
嘉義,嘉義市,17,,良好,1.4,0.1,0.2,9.1,14,12,4,4.2,5,0.8,1,116,-08-15 02:00,5,18,1,1.440833,23.462778,42
臺西,雲林縣,29,,良好,2.4,0.08,0.1,17,24,16,10,6,8.1,2.1,1.8,176,-08-15 02:00,9,14,1,1.2842,23.717533,41
朴子,嘉義縣,19,,良好,1.7,0.19,0.1,12,,14,7,9,11,1.6,1.1,152,-08-15 02:00,4,14,2,1.24781,23.467123,40
新港,嘉義縣,18,,良好,1.8,0.17,0.2,7.2,16,,5,7.4,9.8,2.4,1.4,180,-08-15 02:00,5,19,2,1.345531,23.554839,39
崙背,雲林縣,18,,良好,1.7,0.13,0.1,11,19,16,,8.3,11,2.3,1.3,97,-08-15 02:00,,17,2,1.348742,23.757547,38
斗六,雲林縣,15,,良好,2.2,0.52,0.2,9.2,14,19,4,2.2,3,0.9,0.9,77,-08-15 02:00,4,16,2,1.544994,23.711853,37
南投,南投縣,19,,良好,0.5,0.22,0.2,10,12,17,4,6.4,7.1,0.7,1.3,159,-08-15 02:00,6,13,2,1.685306,23.913,36
二林,彰化縣,19,,良好,2.2,0.12,0.1,8.1,14,11,4,,,,2.5,132,-08-15 02:00,6,15,3,1.409653,23.925175,35
線西,彰化縣,19,,良好,2,0.52,0.1,6.9,21,18,7,9.8,11,1.4,1.1,110,-08-15 02:00,5,15,3,1.469061,24.131672,34
彰化,彰化縣,,,良好,5.1,0.2,0.2,5.8,12,10,8,11,12,0.9,0.9,174,-08-15 02:00,6,13,4,1.541519,24.066,33
西屯,臺中市,13,,良好,1.6,0.18,0.2,7.7,13,14,6,10,11,0.7,0.7,184,-08-15 02:00,4,10,2,1.616917,24.162197,32
忠明,臺中市,19,,良好,1.6,0.2,0.2,15,,6,5,9.7,12,2.6,0.5,191,-08-15 02:00,5,7,2,1.641092,24.151958,31
大里,臺中市,,,良好,2.4,0.22,0.2,1.9,6,16,7,10,12,1.6,0.7,289,-08-15 02:00,6,16,3,1.677689,24.099611,30
沙鹿,臺中市,12,,良好,1.7,0.23,0.2,5.6,13,9,2,12,12,0.3,1.8,141,-08-15 02:00,2,6,2,1.568794,24.225628,29
豐原,臺中市,13,,良好,1.5,0.13,0.1,3.1,8,18,ND,8.4,11,2.8,0.6,99,-08-15 02:00,3,14,1,1.741711,24.256586,28
三義,苗栗縣,17,,良好,1.4,0.11,0.1,6.7,9,10,3,4.7,6.5,1.7,0.7,8,-08-15 02:00,5,13,2,1.758833,24.382942,27
苗栗,苗栗縣,21,,良好,1.6,0.14,0.2,5,12,17,5,7.7,8.3,0.7,1.5,198,-08-15 02:00,7,12,2,1.82,24.5659,
頭份,苗栗縣,18,,良好,1.2,0.13,0.2,11,19,,5,7,8.2,1.2,2,125,-08-15 02:00,4,13,1,1.898572,24.696969,25
新竹,新竹市,29,,良好,2.1,0.18,0.2,17,19,15,8,5.6,7,1.4,0.7,191,-08-15 02:00,9,13,1,1.9775,24.805619,24
竹東,新竹縣,19,,良好,1.7,0.13,0.2,9.6,,24,3,2.2,3.8,1.6,1.6,115,-08-15 02:00,4,21,2,121.088903,24.740644,23
湖口,新竹縣,22,,良好,0.7,0.15,0.1,,24,13,4,8.4,9.2,0.8,2.1,187,-08-15 02:00,4,11,2,121.038653,24.900142,22
龍潭,桃園市,24,,良好,1.7,0.17,0.3,15,,19,8,6.2,7.3,1,2.6,183,-08-15 02:00,7,17,3,121.21635,24.863869,21
平鎮,桃園市,39,,良好,1.8,0.18,0.4,17,16,22,11,,,,1,221,-08-15 02:00,12,21,2,121.3986,24.952786,
觀音,桃園市,21,,良好,1.9,0.15,0.2,19,23,10,3,8.6,8.8,0.2,1.4,218,-08-15 02:00,4,16,1,121.082761,25.035503,19
大園,桃園市,36,,良好,3.1,0.37,0.3,5.9,17,27,13,22,24,1.4,1.3,189,-08-15 02:00,11,22,2,121.1811,25.060344,18
桃園,桃園市,39,,良好,1.1,0.28,0.5,3.8,8,31,15,21,24,3.5,0.7,233,-08-15 02:00,12,23,3,121.304383,24.995368,17
大同,臺北市,19,,良好,2.2,0.61,1.7,-,,19,3,17,,9.4,,,-08-15 02:00,2,21,3,121.513311,25.0632,16
松山,臺北市,21,,良好,1.4,0.4,0.4,3.1,4,14,7,13,,7,0.9,50,-08-15 02:00,6,16,2,121.578611,25.05,15
古亭,臺北市,18,,良好,1.3,0.18,0.4,6.1,4,17,5,4,6.4,2.4,1,199,-08-15 02:00,6,16,2,121.529556,25.0608,14
萬華,臺北市,19,,良好,2.4,0.46,0.5,1.4,2,22,7,19,25,5.9,0.7,181,-08-15 02:00,6,18,1,121.507972,25.046503,13
中山,臺北市,21,,良好,1.6,0.4,0.6,3.4,2,15,5,16,,3.5,0.6,99,-08-15 02:00,7,16,1,121.5528,25.062361,12
士林,臺北市,19,,良好,1.8,0.32,0.3,1.7,7,16,4,11,15,4.1,1.1,107,-08-15 02:00,6,13,2,121.515389,25.105417,11
淡水,新北市,23,,良好,3.8,0.51,0.3,1.1,6,,9,16,27,11,,,-08-15 02:00,7,15,3,121.449239,25.1645,10
林口,新北市,23,,良好,1.3,0.2,0.4,,10,9,9,9.9,12,1.9,1.5,222,-08-15 02:00,7,10,3,121.376869,25.077197,9
菜寮,新北市,25,,良好,2.3,0.27,0.7,6.3,3,,8,12,14,2.3,1.4,174,-08-15 02:00,8,18,2,121.481028,25.06895,8
新莊,新北市,29,,良好,9,0.5,0.6,1.6,8,32,,14,22,7.2,0.6,230,-08-15 02:00,,31,5,121.4325,25.037972,7
板橋,新北市,35,,良好,3.9,0.34,0.6,2,6,23,8,15,19,5,1.4,259,-08-15 02:00,11,22,3,121.458667,25.012972,6
土城,新北市,24,,良好,2.1,0.35,0.5,1.9,5,,7,11,22,11,1,159,-08-15 02:00,7,25,2,121.451861,24.982528,5
新店,新北市,22,,良好,1.7,0.14,0.4,3.3,4,15,5,3.4,5.6,2.1,0.7,150,-08-15 02:00,7,14,2,121.537778,24.977222,4
萬里,新北市,14,,良好,1.6,0.06,0.1,8.1,9,8,5,3.2,3.6,0.3,4.1,7,-08-15 02:00,4,8,3,121.689881,25.179667,3
汐止,新北市,18,,良好,2.6,0.33,0.5,4.4,5,23,3,5.9,,14,0.7,52,-08-15 02:00,5,16,2,121.6423,25.067131,2
基隆,基隆市,18,,良好,1.3,0.11,0.1,11,15,8,4,3,5,2,1,286,-08-15 02:00,5,9,2,121.760056,25.129167,1